,c,sigma,noise,algorithm,ari
0,60,0.25,0.26249999999999996,Herm,0.4177095900540321
0,60,0.45,0.26249999999999996,DiSim,0.22436271558319423
0,60,0.45,0.26249999999999996,Herm,0.37301982997049077
0,30,0.05,0.35,DiSim,0.18557870557084064
0,30,0.05,0.35,Herm,0.24938552938458147
0,30,0.25,0.35,DiSim,0.14875006126286927
0,30,0.25,0.35,Herm,0.1514548770157269
0,30,0.45,0.35,DiSim,0.11137571034158271
0,30,0.45,0.35,Herm,0.15247797554743295
0,45,0.05,0.35,DiSim,0.16687773587507085
0,45,0.05,0.35,Herm,0.29102708666065485
0,45,0.25,0.35,DiSim,0.15342251943881635
0,45,0.25,0.35,Herm,0.23762126528058924
0,45,0.45,0.35,DiSim,0.17041338235460768
0,45,0.45,0.35,Herm,0.2024252479351097
0,60,0.05,0.35,DiSim,0.1413013889330262
0,60,0.05,0.35,Herm,0.36929104276932223
0,60,0.25,0.35,DiSim,0.14324680427808256
0,60,0.25,0.35,Herm,0.23279974708874066
0,60,0.45,0.35,DiSim,0.18508280164469737
0,60,0.45,0.35,Herm,0.19643587296402876
0,30,0.05,0.0,DiSim,0.33099222149662577
0,30,0.05,0.0,Herm,0.5032629583149442
0,30,0.25,0.0,DiSim,0.4186970971538013
0,30,0.25,0.0,Herm,0.4869769591577447
0,30,0.45,0.0,DiSim,0.4715564485168185
0,30,0.45,0.0,Herm,0.5992004699265571
0,45,0.05,0.0,DiSim,0.3648764361172282
0,45,0.05,0.0,Herm,0.5208159337454459
0,45,0.25,0.0,DiSim,0.44781372554402177
0,45,0.25,0.0,Herm,0.5158507789950164
0,45,0.45,0.0,DiSim,0.5694635680042509
0,45,0.45,0.0,Herm,0.7079563676604873
0,60,0.05,0.0,DiSim,0.3785998432994533
0,60,0.05,0.0,Herm,0.5300474463335202
0,60,0.25,0.0,DiSim,0.4577279651927056
0,60,0.25,0.0,Herm,0.5128997229756839
0,60,0.45,0.0,DiSim,0.610777994905305
0,60,0.45,0.0,Herm,0.5818405602378571
0,30,0.05,0.0875,DiSim,0.22963169613626058
0,30,0.05,0.0875,Herm,0.47862198310536597
0,30,0.25,0.0875,DiSim,0.2520028569931827
0,30,0.25,0.0875,Herm,0.4672701669189551
0,30,0.45,0.0875,DiSim,0.269937185216935
0,30,0.45,0.0875,Herm,0.557186650811912
0,45,0.05,0.0875,DiSim,0.2260705255749913
0,45,0.05,0.0875,Herm,0.511033794503305
0,45,0.25,0.0875,DiSim,0.274651718431027
0,45,0.25,0.0875,Herm,0.5012619076924568
0,45,0.45,0.0875,DiSim,0.29064461630701616
0,45,0.45,0.0875,Herm,0.5978143587102347
0,60,0.05,0.0875,DiSim,0.18942562759450227
0,60,0.05,0.0875,Herm,0.5164609261199065
0,60,0.25,0.0875,DiSim,0.24416056910593922
0,60,0.25,0.0875,Herm,0.5133540201355496
0,60,0.45,0.0875,DiSim,0.3247707944454946
0,60,0.45,0.0875,Herm,0.6061318280478601
0,30,0.05,0.175,DiSim,0.19446590577497894
0,30,0.05,0.175,Herm,0.4510171705406918
0,30,0.25,0.175,DiSim,0.2169908092781591
0,30,0.25,0.175,Herm,0.428119544206633
0,30,0.45,0.175,DiSim,0.23640785086078006
0,30,0.45,0.175,Herm,0.4898212590828046
0,45,0.05,0.175,DiSim,0.17889371479899124
0,45,0.05,0.175,Herm,0.497368905136463
0,45,0.25,0.175,DiSim,0.20494883205178835
0,45,0.25,0.175,Herm,0.48129031795067495
0,45,0.45,0.175,DiSim,0.22976007319717204
0,45,0.45,0.175,Herm,0.5390320169892451
0,60,0.05,0.175,DiSim,0.17942198886890354
0,60,0.05,0.175,Herm,0.5061216068650581
0,60,0.25,0.175,DiSim,0.22084822063649798
0,60,0.25,0.175,Herm,0.49593140404851227
0,60,0.45,0.175,DiSim,0.24181010820348645
0,60,0.45,0.175,Herm,0.5576989096283945
0,30,0.05,0.26249999999999996,DiSim,0.20787280812283856
0,30,0.05,0.26249999999999996,Herm,0.40021168143638414
0,30,0.25,0.26249999999999996,DiSim,0.20325242376290067
0,30,0.25,0.26249999999999996,Herm,0.3064279203586763
0,30,0.45,0.26249999999999996,DiSim,0.19575234544780087
0,30,0.45,0.26249999999999996,Herm,0.28145398078237804
0,45,0.05,0.26249999999999996,DiSim,0.19873380567396848
0,45,0.05,0.26249999999999996,Herm,0.4675109640167195
0,45,0.25,0.26249999999999996,DiSim,0.1803833595970386
0,45,0.25,0.26249999999999996,Herm,0.3857400405470131
0,45,0.45,0.26249999999999996,DiSim,0.2020341418213738
0,45,0.45,0.26249999999999996,Herm,0.3414791213392221
0,60,0.05,0.26249999999999996,DiSim,0.20345045128094846
0,60,0.05,0.26249999999999996,Herm,0.49126467358124276
0,60,0.25,0.26249999999999996,DiSim,0.19181090893217215
0,60,0.25,0.26249999999999996,Herm,0.4060140283046541
0,60,0.45,0.26249999999999996,DiSim,0.22367359094214512
0,60,0.45,0.26249999999999996,Herm,0.3794091273441837
0,30,0.05,0.35,DiSim,0.17780423709159926
0,30,0.05,0.35,Herm,0.23248963452069024
0,30,0.25,0.35,DiSim,0.14050739182771502
0,30,0.25,0.35,Herm,0.16298971405890994
0,30,0.45,0.35,DiSim,0.12610616893818752
0,30,0.45,0.35,Herm,0.15160587439684028
0,45,0.05,0.35,DiSim,0.16775270900224107
0,45,0.05,0.35,Herm,0.30993179254897907
0,45,0.25,0.35,DiSim,0.13003280709396942
0,45,0.25,0.35,Herm,0.25693180478155825
0,45,0.45,0.35,DiSim,0.17044479289238623
0,45,0.45,0.35,Herm,0.1865575715919856
0,60,0.05,0.35,DiSim,0.16827497194871852
0,60,0.05,0.35,Herm,0.36130470678268084
0,60,0.25,0.35,DiSim,0.14245180715529251
0,60,0.25,0.35,Herm,0.28866296626942367
0,60,0.45,0.35,DiSim,0.18749795459988886
0,60,0.45,0.35,Herm,0.2293563977384034
0,30,0.05,0.0,DiSim,0.34786294069532653
0,30,0.05,0.0,Herm,0.5034407880063696
0,30,0.25,0.0,DiSim,0.4265284696674536
0,30,0.25,0.0,Herm,0.496378008868931
0,30,0.45,0.0,DiSim,0.5069741678116401
0,30,0.45,0.0,Herm,0.5626613508587933
0,45,0.05,0.0,DiSim,0.36141055875529154
0,45,0.05,0.0,Herm,0.5235541722789729
0,45,0.25,0.0,DiSim,0.4396287683527002
0,45,0.25,0.0,Herm,0.5015186946487249
0,45,0.45,0.0,DiSim,0.5529405249007845
0,45,0.45,0.0,Herm,0.7011159061627462
0,60,0.05,0.0,DiSim,0.3886544728439639
0,60,0.05,0.0,Herm,0.5309667666454714
0,60,0.25,0.0,DiSim,0.4688385221478685
0,60,0.25,0.0,Herm,0.5139587074051412
0,60,0.45,0.0,DiSim,0.5999281757752255
0,60,0.45,0.0,Herm,0.5823925695184492
0,30,0.05,0.0875,DiSim,0.2238788582119208
0,30,0.05,0.0875,Herm,0.4802865447413102
0,30,0.25,0.0875,DiSim,0.25509579716558023
0,30,0.25,0.0875,Herm,0.47050580140855286
0,30,0.45,0.0875,DiSim,0.27445665584777834
0,30,0.45,0.0875,Herm,0.5574346157655927
0,45,0.05,0.0875,DiSim,0.18105990757433052
0,45,0.05,0.0875,Herm,0.5116114146417198
0,45,0.25,0.0875,DiSim,0.24897369085261975
0,45,0.25,0.0875,Herm,0.503995184263632
0,45,0.45,0.0875,DiSim,0.3034988128110658
0,45,0.45,0.0875,Herm,0.5885172713644431
0,60,0.05,0.0875,DiSim,0.18873354453194063
0,60,0.05,0.0875,Herm,0.5192230556672579
0,60,0.25,0.0875,DiSim,0.2428130015912237
0,60,0.25,0.0875,Herm,0.5108472637122076
0,60,0.45,0.0875,DiSim,0.36322468386226353
0,60,0.45,0.0875,Herm,0.5992074449812984
0,30,0.05,0.175,DiSim,0.2385993176927753
0,30,0.05,0.175,Herm,0.44745131374376645
0,30,0.25,0.175,DiSim,0.23600201300275614
0,30,0.25,0.175,Herm,0.4221853459131951
0,30,0.45,0.175,DiSim,0.24215660037726094
0,30,0.45,0.175,Herm,0.4827225500647195
0,45,0.05,0.175,DiSim,0.2209794086714173
0,45,0.05,0.175,Herm,0.49326670838698355
0,45,0.25,0.175,DiSim,0.20077867312570855
0,45,0.25,0.175,Herm,0.47987909913982524
0,45,0.45,0.175,DiSim,0.2252469328423416
0,45,0.45,0.175,Herm,0.5391503296982433
0,60,0.05,0.175,DiSim,0.17427415110010464
0,60,0.05,0.175,Herm,0.5107887801317934
0,60,0.25,0.175,DiSim,0.215576634449071
0,60,0.25,0.175,Herm,0.49820422812429077
0,60,0.45,0.175,DiSim,0.25864764412377655
0,60,0.45,0.175,Herm,0.5668562226724141
0,30,0.05,0.26249999999999996,DiSim,0.20515725418384875
0,30,0.05,0.26249999999999996,Herm,0.3999250455781654
0,30,0.25,0.26249999999999996,DiSim,0.19915906415644444
0,30,0.25,0.26249999999999996,Herm,0.2983790632005578
0,30,0.45,0.26249999999999996,DiSim,0.1948233732798659
0,30,0.45,0.26249999999999996,Herm,0.28509352891412104
0,45,0.05,0.26249999999999996,DiSim,0.18735823305202556
0,45,0.05,0.26249999999999996,Herm,0.46867946095701407
0,45,0.25,0.26249999999999996,DiSim,0.1745596164748162
0,45,0.25,0.26249999999999996,Herm,0.3815820158223518
0,45,0.45,0.26249999999999996,DiSim,0.20508695392274215
0,45,0.45,0.26249999999999996,Herm,0.3223885677945896
0,60,0.05,0.26249999999999996,DiSim,0.17326716171198323
0,60,0.05,0.26249999999999996,Herm,0.49313702101159196
0,60,0.25,0.26249999999999996,DiSim,0.1924734706272264
0,60,0.25,0.26249999999999996,Herm,0.40533631135423265
0,60,0.45,0.26249999999999996,DiSim,0.21278737370060183
0,60,0.45,0.26249999999999996,Herm,0.38314124911368863
0,30,0.05,0.35,DiSim,0.18018983941419242
0,30,0.05,0.35,Herm,0.21195463567681164
0,30,0.25,0.35,DiSim,0.14325672985252969
0,30,0.25,0.35,Herm,0.156842384356736
0,30,0.45,0.35,DiSim,0.09260322452310005
0,30,0.45,0.35,Herm,0.14730834902561266
0,45,0.05,0.35,DiSim,0.1633277856901452
0,45,0.05,0.35,Herm,0.30778473977463083
0,45,0.25,0.35,DiSim,0.15773145352236467
0,45,0.25,0.35,Herm,0.24180761817368246
0,45,0.45,0.35,DiSim,0.1634278320592817
0,45,0.45,0.35,Herm,0.19504895739175557
0,60,0.05,0.35,DiSim,0.14018939331461627
0,60,0.05,0.35,Herm,0.3695728141776541
0,60,0.25,0.35,DiSim,0.14097563838868946
0,60,0.25,0.35,Herm,0.22208523077663164
0,60,0.45,0.35,DiSim,0.18119908597132034
0,60,0.45,0.35,Herm,0.20513757791696474
