,c,sigma,noise,tau,algorithm,ari
0,60,0.25,0.0,1.15,DiSim,0.47887669530494614
0,60,0.25,0.0,1.15,Herm,0.47860126248905277
0,60,0.25,0.0,1.25,DiSim,0.47887669530494614
0,60,0.25,0.0,1.25,Herm,0.4765133613571299
0,60,0.25,0.0,1.6,DiSim,0.47887669530494614
0,60,0.25,0.0,1.6,Herm,0.4697083692301834
0,60,0.25,0.0,2,DiSim,0.47887669530494614
0,60,0.25,0.0,2,Herm,0.4636771962165981
0,60,0.25,0.0,3,DiSim,0.47887669530494614
0,60,0.25,0.0,3,Herm,0.4482826278974216
0,20,0.25,0.15,0.1,DiSim,0.16707477982690214
0,20,0.25,0.15,0.1,Herm,0.3445825268085394
0,20,0.25,0.15,0.4,DiSim,0.16821755112434947
0,20,0.25,0.15,0.4,Herm,0.3056451794650867
0,20,0.25,0.15,0.75,DiSim,0.1683378066187093
0,20,0.25,0.15,0.75,Herm,0.2598939094847324
0,20,0.25,0.15,0.85,DiSim,0.1678050872602111
0,20,0.25,0.15,0.85,Herm,0.24848500156508369
0,20,0.25,0.15,1,DiSim,0.16826053294897533
0,20,0.25,0.15,1,Herm,0.23135264941560293
0,20,0.25,0.15,1.15,DiSim,0.16781449422975891
0,20,0.25,0.15,1.15,Herm,0.21528541855745342
0,20,0.25,0.15,1.25,DiSim,0.1684604563542857
0,20,0.25,0.15,1.25,Herm,0.20782771759956545
0,20,0.25,0.15,1.6,DiSim,0.16813840079075582
0,20,0.25,0.15,1.6,Herm,0.18267715306356305
0,20,0.25,0.15,2,DiSim,0.1673439117047198
0,20,0.25,0.15,2,Herm,0.15270814096804483
0,20,0.25,0.15,3,DiSim,0.16813808728001156
0,20,0.25,0.15,3,Herm,0.09047689100232542
0,60,0.25,0.15,0.1,DiSim,0.23705771772961362
0,60,0.25,0.15,0.1,Herm,0.49539621048999316
0,60,0.25,0.15,0.4,DiSim,0.23709386715509181
0,60,0.25,0.15,0.4,Herm,0.4867621859023663
0,60,0.25,0.15,0.75,DiSim,0.23707617569315115
0,60,0.25,0.15,0.75,Herm,0.4723874186115457
0,60,0.25,0.15,0.85,DiSim,0.23704960579945844
0,60,0.25,0.15,0.85,Herm,0.46945593060114166
0,60,0.25,0.15,1,DiSim,0.23707888988575984
0,60,0.25,0.15,1,Herm,0.46330543615952463
0,60,0.25,0.15,1.15,DiSim,0.23704960579945844
0,60,0.25,0.15,1.15,Herm,0.45782817935339276
0,60,0.25,0.15,1.25,DiSim,0.23707617569315115
0,60,0.25,0.15,1.25,Herm,0.454642473358521
0,60,0.25,0.15,1.6,DiSim,0.23704960579945844
0,60,0.25,0.15,1.6,Herm,0.44190155444332985
0,60,0.25,0.15,2,DiSim,0.23705771772961362
0,60,0.25,0.15,2,Herm,0.42576504073581806
0,60,0.25,0.15,3,DiSim,0.23705318087279653
0,60,0.25,0.15,3,Herm,0.3758655247607251
0,20,0.25,0.0,0.1,DiSim,0.347091690066805
0,20,0.25,0.0,0.1,Herm,0.43309013194770807
0,20,0.25,0.0,0.4,DiSim,0.34722766527817533
0,20,0.25,0.0,0.4,Herm,0.4006879913956909
0,20,0.25,0.0,0.75,DiSim,0.34722766527817533
0,20,0.25,0.0,0.75,Herm,0.36408795477661465
0,20,0.25,0.0,0.85,DiSim,0.34721495896392723
0,20,0.25,0.0,0.85,Herm,0.3535043831790595
0,20,0.25,0.0,1,DiSim,0.3472855437878221
0,20,0.25,0.0,1,Herm,0.34035894253405957
0,20,0.25,0.0,1.15,DiSim,0.34722766527817533
0,20,0.25,0.0,1.15,Herm,0.32761160175840875
0,20,0.25,0.0,1.25,DiSim,0.3472598597073194
0,20,0.25,0.0,1.25,Herm,0.3187714179345163
0,20,0.25,0.0,1.6,DiSim,0.3472855437878221
0,20,0.25,0.0,1.6,Herm,0.2941496976475624
0,20,0.25,0.0,2,DiSim,0.3472612630635477
0,20,0.25,0.0,2,Herm,0.26533666883983914
0,20,0.25,0.0,3,DiSim,0.3473831793703599
0,20,0.25,0.0,3,Herm,0.1989382553697435
0,60,0.25,0.0,0.1,DiSim,0.47490362181616064
0,60,0.25,0.0,0.1,Herm,0.5092804327964924
0,60,0.25,0.0,0.4,DiSim,0.47493657631970637
0,60,0.25,0.0,0.4,Herm,0.5013958061640098
0,60,0.25,0.0,0.75,DiSim,0.4750092580920751
0,60,0.25,0.0,0.75,Herm,0.49295198581388616
0,60,0.25,0.0,0.85,DiSim,0.47493657631970637
0,60,0.25,0.0,0.85,Herm,0.4907761808415095
0,60,0.25,0.0,1,DiSim,0.47490362181616064
0,60,0.25,0.0,1,Herm,0.486853101244543
0,60,0.25,0.0,1.15,DiSim,0.47490362181616064
0,60,0.25,0.0,1.15,Herm,0.4833599670095677
0,60,0.25,0.0,1.25,DiSim,0.47493657631970637
0,60,0.25,0.0,1.25,Herm,0.4812734732706145
0,60,0.25,0.0,1.6,DiSim,0.47493657631970637
0,60,0.25,0.0,1.6,Herm,0.47397585606906123
0,60,0.25,0.0,2,DiSim,0.47493657631970637
0,60,0.25,0.0,2,Herm,0.466421203747964
0,60,0.25,0.0,3,DiSim,0.47490362181616064
0,60,0.25,0.0,3,Herm,0.4503469792266874
0,20,0.25,0.15,0.1,DiSim,0.1567176605963517
0,20,0.25,0.15,0.1,Herm,0.346477496006263
0,20,0.25,0.15,0.4,DiSim,0.15713561385300634
0,20,0.25,0.15,0.4,Herm,0.30201209546197294
0,20,0.25,0.15,0.75,DiSim,0.15777962333693044
0,20,0.25,0.15,0.75,Herm,0.2539981790760486
0,20,0.25,0.15,0.85,DiSim,0.15713009880340603
0,20,0.25,0.15,0.85,Herm,0.2383714208330897
0,20,0.25,0.15,1,DiSim,0.15743085549975724
0,20,0.25,0.15,1,Herm,0.21894022628000662
0,20,0.25,0.15,1.15,DiSim,0.15735869149200063
0,20,0.25,0.15,1.15,Herm,0.20598348773818947
0,20,0.25,0.15,1.25,DiSim,0.1593051239131847
0,20,0.25,0.15,1.25,Herm,0.19701285006195862
0,20,0.25,0.15,1.6,DiSim,0.15791401215236772
0,20,0.25,0.15,1.6,Herm,0.16988333546314793
0,20,0.25,0.15,2,DiSim,0.1583050716549374
0,20,0.25,0.15,2,Herm,0.1425998248692077
0,20,0.25,0.15,3,DiSim,0.1579681411049023
0,20,0.25,0.15,3,Herm,0.0819709087003816
0,60,0.25,0.15,0.1,DiSim,0.2368671302847748
0,60,0.25,0.15,0.1,Herm,0.4977733986829515
0,60,0.25,0.15,0.4,DiSim,0.23685286014852416
0,60,0.25,0.15,0.4,Herm,0.48801608839677263
0,60,0.25,0.15,0.75,DiSim,0.2622849960958288
0,60,0.25,0.15,0.75,Herm,0.4745285440301527
0,60,0.25,0.15,0.85,DiSim,0.2371069458592041
0,60,0.25,0.15,0.85,Herm,0.47056357846434604
0,60,0.25,0.15,1,DiSim,0.23691873471090955
0,60,0.25,0.15,1,Herm,0.46606590241224327
0,60,0.25,0.15,1.15,DiSim,0.23682378915013816
0,60,0.25,0.15,1.15,Herm,0.4624432237559025
0,60,0.25,0.15,1.25,DiSim,0.23684335868032147
0,60,0.25,0.15,1.25,Herm,0.45948046719020413
0,60,0.25,0.15,1.6,DiSim,0.2620938534580669
0,60,0.25,0.15,1.6,Herm,0.445928136561539
0,60,0.25,0.15,2,DiSim,0.23702424000819347
0,60,0.25,0.15,2,Herm,0.43388859863623347
0,60,0.25,0.15,3,DiSim,0.2369784525592965
0,60,0.25,0.15,3,Herm,0.3711839259507604
0,20,0.25,0.0,0.1,DiSim,0.35069396141137904
0,20,0.25,0.0,0.1,Herm,0.4369912556690919
0,20,0.25,0.0,0.4,DiSim,0.3506679981718459
0,20,0.25,0.0,0.4,Herm,0.4028202717976648
0,20,0.25,0.0,0.75,DiSim,0.35114277539153155
0,20,0.25,0.0,0.75,Herm,0.36838741726266777
0,20,0.25,0.0,0.85,DiSim,0.35060305357527066
0,20,0.25,0.0,0.85,Herm,0.3578720695771216
0,20,0.25,0.0,1,DiSim,0.35066590159958577
0,20,0.25,0.0,1,Herm,0.34408081630316806
0,20,0.25,0.0,1.15,DiSim,0.3510867401383924
0,20,0.25,0.0,1.15,Herm,0.33105302066578973
