,model,average_edge_probability,percentage_intra_edges,algorithm,ari
0,DSBM_PA,0.0045,0.1,Herm,0.5153049101947754
0,DSBM,0.0045,0.2,DiSim,0.9935336997120342
0,DSBM,0.0045,0.2,Herm,1.0
0,DSBM_PA,0.0045,0.2,DiSim,0.3547968242740591
0,DSBM_PA,0.0045,0.2,Herm,0.4883780258203608
0,DSBM,0.0045,0.30000000000000004,DiSim,0.9359342334576675
0,DSBM,0.0045,0.30000000000000004,Herm,0.9997500125
0,DSBM_PA,0.0045,0.30000000000000004,DiSim,0.3214961306416931
0,DSBM_PA,0.0045,0.30000000000000004,Herm,0.4567387856056727
0,DSBM,0.0045,0.4,DiSim,0.9996250656660229
0,DSBM,0.0045,0.4,Herm,0.9973813674861334
0,DSBM_PA,0.0045,0.4,DiSim,0.3286467496968368
0,DSBM_PA,0.0045,0.4,Herm,0.40880727954862794
0,DSBM,0.0045,0.5,DiSim,1.0
0,DSBM,0.0045,0.5,Herm,0.9841318848416865
0,DSBM_PA,0.0045,0.5,DiSim,0.36324193123979115
0,DSBM_PA,0.0045,0.5,Herm,0.3514011809486558
0,DSBM,0.0045,0.6000000000000001,DiSim,1.0
0,DSBM,0.0045,0.6000000000000001,Herm,0.9467783609727856
0,DSBM_PA,0.0045,0.6000000000000001,DiSim,0.44406055727338944
0,DSBM_PA,0.0045,0.6000000000000001,Herm,0.29378720986155143
0,DSBM,0.0045,0.7000000000000001,DiSim,1.0
0,DSBM,0.0045,0.7000000000000001,Herm,0.8534013501996884
0,DSBM_PA,0.0045,0.7000000000000001,DiSim,0.5650220211191259
0,DSBM_PA,0.0045,0.7000000000000001,Herm,0.13294534653863396
0,DSBM,0.0045,0.8,DiSim,1.0
0,DSBM,0.0045,0.8,Herm,0.3864658991078778
0,DSBM_PA,0.0045,0.8,DiSim,0.5882838958123721
0,DSBM_PA,0.0045,0.8,Herm,0.13408325260716492
0,DSBM,0.0045,0.9,DiSim,1.0
0,DSBM,0.0045,0.9,Herm,0.009291239133636725
0,DSBM_PA,0.0045,0.9,DiSim,0.5978104712628509
0,DSBM_PA,0.0045,0.9,Herm,0.1332971706826309
0,DSBM,0.0045,0.0,DiSim,0.9991250753180474
0,DSBM,0.0045,0.0,Herm,1.0
0,DSBM_PA,0.0045,0.0,DiSim,0.6395326306305568
0,DSBM_PA,0.0045,0.0,Herm,0.5671058750788915
0,DSBM,0.0045,0.1,DiSim,0.7494613593351459
0,DSBM,0.0045,0.1,Herm,1.0
0,DSBM_PA,0.0045,0.1,DiSim,0.30599143894918607
0,DSBM_PA,0.0045,0.1,Herm,0.5574944069795377
0,DSBM,0.0045,0.2,DiSim,0.7508969001232544
0,DSBM,0.0045,0.2,Herm,0.9998749906230465
0,DSBM_PA,0.0045,0.2,DiSim,0.18089818035960242
0,DSBM_PA,0.0045,0.2,Herm,0.5437310576279422
0,DSBM,0.0045,0.30000000000000004,DiSim,0.996883783508327
0,DSBM,0.0045,0.30000000000000004,Herm,0.9998749906230465
0,DSBM_PA,0.0045,0.30000000000000004,DiSim,0.19669639295019029
0,DSBM_PA,0.0045,0.30000000000000004,Herm,0.5323298475697519
0,DSBM,0.0045,0.4,DiSim,0.9998749906230465
0,DSBM,0.0045,0.4,Herm,0.9968841424515452
0,DSBM_PA,0.0045,0.4,DiSim,0.25962028107774915
0,DSBM_PA,0.0045,0.4,Herm,0.4901009163277292
0,DSBM,0.0045,0.5,DiSim,1.0
0,DSBM,0.0045,0.5,Herm,0.9814775611256625
0,DSBM_PA,0.0045,0.5,DiSim,0.35411547917465713
0,DSBM_PA,0.0045,0.5,Herm,0.13645280189137035
