,p,noise,tau,algorithm,ari
0,0.003,0.15,0.4,DiSim,0.06657567299593073
0,0.003,0.15,0.4,Herm,0.018625020567147012
0,0.003,0.15,0.75,DiSim,0.06660240278304402
0,0.003,0.15,0.75,Herm,0.009556242414161361
0,0.003,0.15,0.85,DiSim,0.06684677946404695
0,0.003,0.15,0.85,Herm,0.008569084206753851
0,0.003,0.15,1,DiSim,0.06677166685643611
0,0.003,0.15,1,Herm,0.006820018190688622
0,0.003,0.15,1.15,DiSim,0.06624308248621047
0,0.003,0.15,1.15,Herm,0.005547951488494421
0,0.003,0.15,1.25,DiSim,0.0665669312639081
0,0.003,0.15,1.25,Herm,0.005266492855141691
0,0.003,0.15,1.6,DiSim,0.0667244775139616
0,0.003,0.15,1.6,Herm,0.004133255545100825
0,0.003,0.15,2,DiSim,0.0667247861027503
0,0.003,0.15,2,Herm,0.0034629287498895733
0,0.003,0.15,3,DiSim,0.06664452632493575
0,0.003,0.15,3,Herm,0.0024742609538898554
0,0.006,0.15,0.1,DiSim,0.1079308243861755
0,0.006,0.15,0.1,Herm,0.09484146406014711
0,0.006,0.15,0.4,DiSim,0.10809339099655968
0,0.006,0.15,0.4,Herm,0.029003814973811274
0,0.006,0.15,0.75,DiSim,0.10821228423948212
0,0.006,0.15,0.75,Herm,0.012721323223768392
0,0.006,0.15,0.85,DiSim,0.10806572607707343
0,0.006,0.15,0.85,Herm,0.010866217124049919
0,0.006,0.15,1,DiSim,0.10827294106428877
0,0.006,0.15,1,Herm,0.008387706386544052
0,0.006,0.15,1.15,DiSim,0.10828906031683365
0,0.006,0.15,1.15,Herm,0.006147625784210342
0,0.006,0.15,1.25,DiSim,0.10818950344609929
0,0.006,0.15,1.25,Herm,0.005589714826065072
0,0.006,0.15,1.6,DiSim,0.10828005624637141
0,0.006,0.15,1.6,Herm,0.004252553031032853
0,0.006,0.15,2,DiSim,0.10827294106428877
0,0.006,0.15,2,Herm,0.0033041133628750234
0,0.006,0.15,3,DiSim,0.10795540748159194
0,0.006,0.15,3,Herm,0.001777823453984216
0,0.003,0.0,0.1,DiSim,0.24080028465904169
0,0.003,0.0,0.1,Herm,0.4507418070201675
0,0.003,0.0,0.4,DiSim,0.24188196480953778
0,0.003,0.0,0.4,Herm,0.40627144955446026
0,0.003,0.0,0.75,DiSim,0.2415667438542884
0,0.003,0.0,0.75,Herm,0.35005699228651277
0,0.003,0.0,0.85,DiSim,0.24181284396055286
0,0.003,0.0,0.85,Herm,0.3354285802299968
0,0.003,0.0,1,DiSim,0.24177298107042108
0,0.003,0.0,1,Herm,0.31326632245040126
0,0.003,0.0,1.15,DiSim,0.24116723066783227
0,0.003,0.0,1.15,Herm,0.26835267472000607
0,0.003,0.0,1.25,DiSim,0.24170464034518607
0,0.003,0.0,1.25,Herm,0.2560186662376807
0,0.003,0.0,1.6,DiSim,0.24168655671995984
0,0.003,0.0,1.6,Herm,0.21515761495121724
0,0.003,0.0,2,DiSim,0.2413512126054286
0,0.003,0.0,2,Herm,0.15405597786007827
0,0.003,0.0,3,DiSim,0.24149736052702594
0,0.003,0.0,3,Herm,0.11126482138406484
0,0.006,0.0,0.1,DiSim,0.3142459877468137
0,0.006,0.0,0.1,Herm,0.5253248983424071
0,0.006,0.0,0.4,DiSim,0.3140637439535559
0,0.006,0.0,0.4,Herm,0.4916557710105283
0,0.006,0.0,0.75,DiSim,0.31421324481706364
0,0.006,0.0,0.75,Herm,0.4500402637217882
0,0.006,0.0,0.85,DiSim,0.31463140948880014
0,0.006,0.0,0.85,Herm,0.44446347447862494
0,0.006,0.0,1,DiSim,0.3145082217607964
0,0.006,0.0,1,Herm,0.43160090643815524
0,0.006,0.0,1.15,DiSim,0.31416658119649804
0,0.006,0.0,1.15,Herm,0.4168712260564554
0,0.006,0.0,1.25,DiSim,0.31420473390983755
0,0.006,0.0,1.25,Herm,0.409328037092435
0,0.006,0.0,1.6,DiSim,0.31475963013812175
0,0.006,0.0,1.6,Herm,0.36965273272525073
0,0.006,0.0,2,DiSim,0.31475426063680484
0,0.006,0.0,2,Herm,0.33117438608608907
0,0.006,0.0,3,DiSim,0.31448137547851884
0,0.006,0.0,3,Herm,0.24881622839679313
0,0.003,0.15,0.1,DiSim,0.026421039790123516
0,0.003,0.15,0.1,Herm,0.005076328855047022
0,0.003,0.15,0.4,DiSim,0.02634853180760407
0,0.003,0.15,0.4,Herm,0.00388042640092819
0,0.003,0.15,0.75,DiSim,0.02615255547505396
0,0.003,0.15,0.75,Herm,0.0030720505336304296
0,0.003,0.15,0.85,DiSim,0.026571244271507734
0,0.003,0.15,0.85,Herm,0.0026374064973987196
0,0.003,0.15,1,DiSim,0.026355270851008365
0,0.003,0.15,1,Herm,0.0024032495136945674
0,0.003,0.15,1.15,DiSim,0.026281962528768833
0,0.003,0.15,1.15,Herm,0.002412460242489867
0,0.003,0.15,1.25,DiSim,0.02661621254193159
0,0.003,0.15,1.25,Herm,0.0023428344612789593
0,0.003,0.15,1.6,DiSim,0.026177006441982512
0,0.003,0.15,1.6,Herm,0.0021606348946797164
0,0.003,0.15,2,DiSim,0.02665359415778732
0,0.003,0.15,2,Herm,0.0020524384370718784
0,0.003,0.15,3,DiSim,0.026335489767095648
0,0.003,0.15,3,Herm,0.0020075084104809867
0,0.006,0.15,0.1,DiSim,0.08558064370140316
0,0.006,0.15,0.1,Herm,0.004385902518248291
0,0.006,0.15,0.4,DiSim,0.0859543528244776
0,0.006,0.15,0.4,Herm,0.004035332458921644
0,0.006,0.15,0.75,DiSim,0.08591523164562131
0,0.006,0.15,0.75,Herm,0.0035234878743247242
0,0.006,0.15,0.85,DiSim,0.08537660171350678
0,0.006,0.15,0.85,Herm,0.00348484732382038
0,0.006,0.15,1,DiSim,0.08593734074609091
0,0.006,0.15,1,Herm,0.0032816493095377064
0,0.006,0.15,1.15,DiSim,0.08594650223594914
0,0.006,0.15,1.15,Herm,0.003289288453295014
0,0.006,0.15,1.25,DiSim,0.085632327521027
0,0.006,0.15,1.25,Herm,0.0032782605836494437
0,0.006,0.15,1.6,DiSim,0.08593734074609091
0,0.006,0.15,1.6,Herm,0.0027961448422014526
0,0.006,0.15,2,DiSim,0.08594650223594914
0,0.006,0.15,2,Herm,0.002697008321626536
0,0.006,0.15,3,DiSim,0.0853371077733246
0,0.006,0.15,3,Herm,0.0022819596319301975
0,0.003,0.0,0.1,DiSim,0.15498209051449205
0,0.003,0.0,0.1,Herm,0.3373633970121374
0,0.003,0.0,0.4,DiSim,0.1550412044435592
0,0.003,0.0,0.4,Herm,0.10234019096231625
0,0.003,0.0,0.75,DiSim,0.15446035092157898
0,0.003,0.0,0.75,Herm,0.006059884082395017
0,0.003,0.0,0.85,DiSim,0.15510582119109667
0,0.003,0.0,0.85,Herm,0.005755780367930319
0,0.003,0.0,1,DiSim,0.15510506851223804
0,0.003,0.0,1,Herm,0.004912047705380552
0,0.003,0.0,1.15,DiSim,0.1542325691501667
0,0.003,0.0,1.15,Herm,0.00514325790228104
0,0.003,0.0,1.25,DiSim,0.15489371428038612
0,0.003,0.0,1.25,Herm,0.005057998989943151
0,0.003,0.0,1.6,DiSim,0.1547963464117622
0,0.003,0.0,1.6,Herm,0.005751663140140641
0,0.003,0.0,2,DiSim,0.15462476512101925
0,0.003,0.0,2,Herm,0.005917819073612256
0,0.003,0.0,3,DiSim,0.1544658894578052
