,model,p,noise,algorithm,ari
0,DSBM_PA,0.002,0.0875,Herm,3.635649251176186e-05
0,DSBM,0.004,0.0875,DiSim,0.6952793350459585
0,DSBM,0.004,0.0875,Herm,0.9809810830419585
0,DSBM_PA,0.004,0.0875,DiSim,2.439951401554869e-05
0,DSBM_PA,0.004,0.0875,Herm,0.00010112132042347249
0,DSBM,0.006,0.0875,DiSim,0.9281405851822913
0,DSBM,0.006,0.0875,Herm,0.9988753532371253
0,DSBM_PA,0.006,0.0875,DiSim,0.00016067140154975905
0,DSBM_PA,0.006,0.0875,Herm,7.139532883269528e-05
0,DSBM,0.008,0.0875,DiSim,0.9804826562040219
0,DSBM,0.008,0.0875,Herm,1.0
0,DSBM_PA,0.008,0.0875,DiSim,-9.161482015160392e-06
0,DSBM_PA,0.008,0.0875,Herm,0.00032120465853576987
0,DSBM,0.002,0.175,DiSim,0.04526439226763869
0,DSBM,0.002,0.175,Herm,0.20993476379431406
0,DSBM_PA,0.002,0.175,DiSim,-5.156348107274276e-05
0,DSBM_PA,0.002,0.175,Herm,-6.781490172323669e-05
0,DSBM,0.004,0.175,DiSim,0.2316923388973501
0,DSBM,0.004,0.175,Herm,0.8542149732515211
0,DSBM_PA,0.004,0.175,DiSim,5.953206389299126e-05
0,DSBM_PA,0.004,0.175,Herm,1.0542206695358149e-05
0,DSBM,0.006,0.175,DiSim,0.6631056613691964
0,DSBM,0.006,0.175,Herm,0.969026314128559
0,DSBM_PA,0.006,0.175,DiSim,-4.764745849994651e-05
0,DSBM_PA,0.006,0.175,Herm,0.00016139068041052948
0,DSBM,0.008,0.175,DiSim,0.8584935786764735
0,DSBM,0.008,0.175,Herm,0.9940093807837908
0,DSBM_PA,0.008,0.175,DiSim,-7.018258165656447e-05
0,DSBM_PA,0.008,0.175,Herm,-3.147090700586622e-05
0,DSBM,0.002,0.26249999999999996,DiSim,0.0005810685801416488
0,DSBM,0.002,0.26249999999999996,Herm,0.06187904431427989
0,DSBM_PA,0.002,0.26249999999999996,DiSim,-0.00011677795181024657
0,DSBM_PA,0.002,0.26249999999999996,Herm,8.38642074281939e-05
0,DSBM,0.004,0.26249999999999996,DiSim,0.06314664851473288
0,DSBM,0.004,0.26249999999999996,Herm,0.27209185507442285
0,DSBM_PA,0.004,0.26249999999999996,DiSim,0.0001811646698462052
0,DSBM_PA,0.004,0.26249999999999996,Herm,-6.974600630027234e-05
0,DSBM,0.006,0.26249999999999996,DiSim,0.14722854781196193
0,DSBM,0.006,0.26249999999999996,Herm,0.7123364285497863
0,DSBM_PA,0.006,0.26249999999999996,DiSim,-7.55485283350802e-05
0,DSBM_PA,0.006,0.26249999999999996,Herm,6.912035131802381e-05
0,DSBM,0.008,0.26249999999999996,DiSim,0.26342449480076374
0,DSBM,0.008,0.26249999999999996,Herm,0.88173426989544
0,DSBM_PA,0.008,0.26249999999999996,DiSim,3.253554001890374e-05
0,DSBM_PA,0.008,0.26249999999999996,Herm,-4.44314351290038e-05
0,DSBM,0.002,0.35,DiSim,0.0002449429776299407
0,DSBM,0.002,0.35,Herm,0.00027407460046379166
0,DSBM_PA,0.002,0.35,DiSim,4.3403939329547194e-05
0,DSBM_PA,0.002,0.35,Herm,9.809754299834946e-05
0,DSBM,0.004,0.35,DiSim,3.379627428000214e-05
0,DSBM,0.004,0.35,Herm,0.015772499936756244
0,DSBM_PA,0.004,0.35,DiSim,-8.157178973144657e-05
0,DSBM_PA,0.004,0.35,Herm,-6.0079009017365215e-05
0,DSBM,0.006,0.35,DiSim,0.0018379396005171911
0,DSBM,0.006,0.35,Herm,0.10185001834917914
0,DSBM_PA,0.006,0.35,DiSim,1.3949525539413441e-05
0,DSBM_PA,0.006,0.35,Herm,1.606261332637276e-05
0,DSBM,0.008,0.35,DiSim,0.009961631481396508
0,DSBM,0.008,0.35,Herm,0.14812329550119047
0,DSBM_PA,0.008,0.35,DiSim,-2.9497014484831082e-05
0,DSBM_PA,0.008,0.35,Herm,0.00012490858191975524
0,DSBM,0.002,0.0,DiSim,0.4119609513570027
0,DSBM,0.002,0.0,Herm,0.9305796574757743
0,DSBM_PA,0.002,0.0,DiSim,0.0001857379411893001
0,DSBM_PA,0.002,0.0,Herm,0.0017328382856130501
0,DSBM,0.004,0.0,DiSim,0.9217810383283959
0,DSBM,0.004,0.0,Herm,0.9987507345914189
0,DSBM_PA,0.004,0.0,DiSim,1.1256482906156442e-05
0,DSBM_PA,0.004,0.0,Herm,0.002859163323325885
0,DSBM,0.006,0.0,DiSim,0.9901505499769886
0,DSBM,0.006,0.0,Herm,1.0
0,DSBM_PA,0.006,0.0,DiSim,0.05324102510909945
0,DSBM_PA,0.006,0.0,Herm,0.005496982720618227
0,DSBM,0.008,0.0,DiSim,0.9982504007188341
0,DSBM,0.008,0.0,Herm,1.0
0,DSBM_PA,0.008,0.0,DiSim,0.09188900724862771
0,DSBM_PA,0.008,0.0,Herm,0.0003818856296007854
0,DSBM,0.002,0.0875,DiSim,0.15392131823010166
0,DSBM,0.002,0.0875,Herm,0.7266015686679294
0,DSBM_PA,0.002,0.0875,DiSim,1.094233104560132e-05
0,DSBM_PA,0.002,0.0875,Herm,0.00018762076818050358
0,DSBM,0.004,0.0875,DiSim,0.7110680275908349
0,DSBM,0.004,0.0875,Herm,0.9839487081721894
0,DSBM_PA,0.004,0.0875,DiSim,0.0002460290715961304
0,DSBM_PA,0.004,0.0875,Herm,0.0001499279236610241
0,DSBM,0.006,0.0875,DiSim,0.9246576820585705
0,DSBM,0.006,0.0875,Herm,0.9991251218988336
0,DSBM_PA,0.006,0.0875,DiSim,0.00021035350389997663
0,DSBM_PA,0.006,0.0875,Herm,-5.6699407622809266e-05
0,DSBM,0.008,0.0875,DiSim,0.9822154284501036
0,DSBM,0.008,0.0875,Herm,1.0
0,DSBM_PA,0.008,0.0875,DiSim,0.00015252089934163985
0,DSBM_PA,0.008,0.0875,Herm,0.000445428461942755
0,DSBM,0.002,0.175,DiSim,0.039954342511042615
0,DSBM,0.002,0.175,Herm,0.2329380855064763
0,DSBM_PA,0.002,0.175,DiSim,7.95975254465767e-05
0,DSBM_PA,0.002,0.175,Herm,-6.681999951193707e-05
0,DSBM,0.004,0.175,DiSim,0.2192068608403924
0,DSBM,0.004,0.175,Herm,0.8538730897215631
0,DSBM_PA,0.004,0.175,DiSim,-0.00011160562409289363
0,DSBM_PA,0.004,0.175,Herm,0.00011907776838045627
0,DSBM,0.006,0.175,DiSim,0.6434730303042809
0,DSBM,0.006,0.175,Herm,0.972474961520367
0,DSBM_PA,0.006,0.175,DiSim,-8.074613532393016e-06
0,DSBM_PA,0.006,0.175,Herm,0.00010120673093252479
0,DSBM,0.008,0.175,DiSim,0.8570184568752827
0,DSBM,0.008,0.175,Herm,0.9940100997898236
0,DSBM_PA,0.008,0.175,DiSim,2.434218542269144e-05
0,DSBM_PA,0.008,0.175,Herm,0.00011317969796535074
0,DSBM,0.002,0.26249999999999996,DiSim,0.0009622268599750471
0,DSBM,0.002,0.26249999999999996,Herm,0.05212602029586261
0,DSBM_PA,0.002,0.26249999999999996,DiSim,-3.738858915712115e-05
0,DSBM_PA,0.002,0.26249999999999996,Herm,1.17842830317479e-05
0,DSBM,0.004,0.26249999999999996,DiSim,0.05190067666586711
0,DSBM,0.004,0.26249999999999996,Herm,0.2613948655098268
0,DSBM_PA,0.004,0.26249999999999996,DiSim,7.548401054284189e-05
0,DSBM_PA,0.004,0.26249999999999996,Herm,-2.60994856999716e-05
0,DSBM,0.006,0.26249999999999996,DiSim,0.1373939806762108
0,DSBM,0.006,0.26249999999999996,Herm,0.7124287282992464
0,DSBM_PA,0.006,0.26249999999999996,DiSim,-0.00010992497771893092
0,DSBM_PA,0.006,0.26249999999999996,Herm,3.892131961392599e-05
0,DSBM,0.008,0.26249999999999996,DiSim,0.2249899286210232
0,DSBM,0.008,0.26249999999999996,Herm,0.8812619787732604
0,DSBM_PA,0.008,0.26249999999999996,DiSim,-2.9916802941909575e-05
0,DSBM_PA,0.008,0.26249999999999996,Herm,-3.3871684278671576e-05
0,DSBM,0.002,0.35,DiSim,6.594845533075578e-05
0,DSBM,0.002,0.35,Herm,0.0004535706037640391
0,DSBM_PA,0.002,0.35,DiSim,-6.387856356251152e-05
0,DSBM_PA,0.002,0.35,Herm,-2.9191540537104383e-06
0,DSBM,0.004,0.35,DiSim,0.0005226433377609331
0,DSBM,0.004,0.35,Herm,0.009545537109557998
0,DSBM_PA,0.004,0.35,DiSim,-5.701303559443573e-05
0,DSBM_PA,0.004,0.35,Herm,-3.251609039915347e-05
0,DSBM,0.006,0.35,DiSim,0.0006227434264324727
0,DSBM,0.006,0.35,Herm,0.0957737175933831
0,DSBM_PA,0.006,0.35,DiSim,1.1709841731268764e-05
0,DSBM_PA,0.006,0.35,Herm,-1.8686113874471603e-05
0,DSBM,0.008,0.35,DiSim,0.01200818426015438
0,DSBM,0.008,0.35,Herm,0.1737742596856115
0,DSBM_PA,0.008,0.35,DiSim,-2.0882870016505227e-05
0,DSBM_PA,0.008,0.35,Herm,8.813820708625362e-05
0,DSBM,0.002,0.0,DiSim,0.37638537749318146
0,DSBM,0.002,0.0,Herm,0.9340839485254513
0,DSBM_PA,0.002,0.0,DiSim,0.0004003211600433905
0,DSBM_PA,0.002,0.0,Herm,0.003860900216787574
0,DSBM,0.004,0.0,DiSim,0.9146415549255847
0,DSBM,0.004,0.0,Herm,0.9983754411996584
0,DSBM_PA,0.004,0.0,DiSim,0.0009434240011705208
0,DSBM_PA,0.004,0.0,Herm,0.008817500225969756
0,DSBM,0.006,0.0,DiSim,0.9877927842811682
0,DSBM,0.006,0.0,Herm,1.0
0,DSBM_PA,0.006,0.0,DiSim,0.017178869586409008
0,DSBM_PA,0.006,0.0,Herm,0.005362947657860789
0,DSBM,0.008,0.0,DiSim,0.9978760598644514
0,DSBM,0.008,0.0,Herm,1.0
0,DSBM_PA,0.008,0.0,DiSim,0.11581160621875945
0,DSBM_PA,0.008,0.0,Herm,0.008472422843089649
0,DSBM,0.002,0.0875,DiSim,0.14576333415716147
0,DSBM,0.002,0.0875,Herm,0.7207226479824544
0,DSBM_PA,0.002,0.0875,DiSim,3.959285063694169e-05
0,DSBM_PA,0.002,0.0875,Herm,2.2817533591232897e-05
0,DSBM,0.004,0.0875,DiSim,0.704295337876932
0,DSBM,0.004,0.0875,Herm,0.979622433305281
0,DSBM_PA,0.004,0.0875,DiSim,8.072685777966017e-05
0,DSBM_PA,0.004,0.0875,Herm,-2.4815132608429597e-05
0,DSBM,0.006,0.0875,DiSim,0.9254867234058377
0,DSBM,0.006,0.0875,Herm,0.9982505724804961
0,DSBM_PA,0.006,0.0875,DiSim,-0.00011347565807931375
0,DSBM_PA,0.006,0.0875,Herm,0.00013609442373455744
0,DSBM,0.008,0.0875,DiSim,0.9804843666635349
0,DSBM,0.008,0.0875,Herm,0.9998749906230465
0,DSBM_PA,0.008,0.0875,DiSim,0.0005795253259719111
0,DSBM_PA,0.008,0.0875,Herm,7.325800262977806e-05
0,DSBM,0.002,0.175,DiSim,0.0356919965662412
0,DSBM,0.002,0.175,Herm,0.19764757052030443
0,DSBM_PA,0.002,0.175,DiSim,4.2969477876449134e-05
0,DSBM_PA,0.002,0.175,Herm,0.00014797797718840434
0,DSBM,0.004,0.175,DiSim,0.23191675471374898
0,DSBM,0.004,0.175,Herm,0.8502429568706731
0,DSBM_PA,0.004,0.175,DiSim,5.785735890396406e-05
0,DSBM_PA,0.004,0.175,Herm,5.4324696439351525e-05
0,DSBM,0.006,0.175,DiSim,0.6488234098262472
0,DSBM,0.006,0.175,Herm,0.971121804187789
0,DSBM_PA,0.006,0.175,DiSim,4.500130331657765e-05
0,DSBM_PA,0.006,0.175,Herm,-5.319200461588734e-05
0,DSBM,0.008,0.175,DiSim,0.8589102132774319
0,DSBM,0.008,0.175,Herm,0.9936358122054453
0,DSBM_PA,0.008,0.175,DiSim,-4.577352560956495e-05
0,DSBM_PA,0.008,0.175,Herm,3.3865646062581846e-05
0,DSBM,0.002,0.26249999999999996,DiSim,0.0006417114214807617
0,DSBM,0.002,0.26249999999999996,Herm,0.04877341917948062
0,DSBM_PA,0.002,0.26249999999999996,DiSim,1.935369110518396e-05
0,DSBM_PA,0.002,0.26249999999999996,Herm,3.075284612333001e-05
0,DSBM,0.004,0.26249999999999996,DiSim,0.055148820314925004
0,DSBM,0.004,0.26249999999999996,Herm,0.24454976939738327
0,DSBM_PA,0.004,0.26249999999999996,DiSim,7.809034704788911e-06
0,DSBM_PA,0.004,0.26249999999999996,Herm,-6.390776799855341e-06
0,DSBM,0.006,0.26249999999999996,DiSim,0.1527379079249104
0,DSBM,0.006,0.26249999999999996,Herm,0.7077878031821974
0,DSBM_PA,0.006,0.26249999999999996,DiSim,0.00011554152578894553
0,DSBM_PA,0.006,0.26249999999999996,Herm,2.8189100809248712e-05
0,DSBM,0.008,0.26249999999999996,DiSim,0.26894061319434387
0,DSBM,0.008,0.26249999999999996,Herm,0.8796735243407084
0,DSBM_PA,0.008,0.26249999999999996,DiSim,-3.504061956674652e-05
0,DSBM_PA,0.008,0.26249999999999996,Herm,4.5087025121497036e-05
0,DSBM,0.002,0.35,DiSim,0.00027714974004429036
0,DSBM,0.002,0.35,Herm,0.00010047468479851333
0,DSBM_PA,0.002,0.35,DiSim,0.00020829070671410502
0,DSBM_PA,0.002,0.35,Herm,-3.365956895511751e-05
0,DSBM,0.004,0.35,DiSim,0.00019493118567955164
0,DSBM,0.004,0.35,Herm,0.017298872906767425
0,DSBM_PA,0.004,0.35,DiSim,-1.8542485497881684e-05
0,DSBM_PA,0.004,0.35,Herm,2.364062273080902e-06
0,DSBM,0.006,0.35,DiSim,0.0005888798242641277
0,DSBM,0.006,0.35,Herm,0.10361948626060631
0,DSBM_PA,0.006,0.35,DiSim,-2.252009806514976e-05
0,DSBM_PA,0.006,0.35,Herm,-3.4985453853708926e-05
0,DSBM,0.008,0.35,DiSim,0.0038916486019031035
0,DSBM,0.008,0.35,Herm,0.1530063740206183
0,DSBM_PA,0.008,0.35,DiSim,-8.502349495036166e-05
