,c,k,noise,tau,algorithm,ari
0,60,3,0.15,0.1,DiSim,0.48523543895622157
0,60,3,0.15,0.1,Herm,0.00040468414657384404
0,60,3,0.15,0.4,DiSim,0.48523543895622157
0,60,3,0.15,0.4,Herm,0.00026069420907003224
0,60,3,0.15,0.75,DiSim,0.48523543895622157
0,60,3,0.15,0.75,Herm,0.00030279021808201934
0,60,3,0.15,0.85,DiSim,0.48523543895622157
0,60,3,0.15,0.85,Herm,0.000277310799413029
0,60,3,0.15,1,DiSim,0.48523543895622157
0,60,3,0.15,1,Herm,0.000284713385491098
0,60,3,0.15,1.15,DiSim,0.48523543895622157
0,60,3,0.15,1.15,Herm,0.00036898806761699826
0,60,3,0.15,1.25,DiSim,0.48523543895622157
0,60,3,0.15,1.25,Herm,0.0003499699074822585
0,60,3,0.15,1.6,DiSim,0.48523543895622157
0,60,3,0.15,1.6,Herm,0.00037964902346201735
0,60,3,0.15,2,DiSim,0.48523543895622157
0,60,3,0.15,2,Herm,2.3883095333229126e-05
0,60,3,0.15,3,DiSim,0.48523543895622157
0,60,3,0.15,3,Herm,1.3581412040749903e-05
0,20,5,0.15,0.1,DiSim,0.5617473886454655
0,20,5,0.15,0.1,Herm,0.6641931153667326
0,20,5,0.15,0.4,DiSim,0.5618031464323866
0,20,5,0.15,0.4,Herm,0.6709038283045599
0,20,5,0.15,0.75,DiSim,0.5617473886454655
0,20,5,0.15,0.75,Herm,0.6646043509641184
0,20,5,0.15,0.85,DiSim,0.5618589386604494
0,20,5,0.15,0.85,Herm,0.6614155189466449
0,20,5,0.15,1,DiSim,0.5618589386604494
0,20,5,0.15,1,Herm,0.655280391471494
0,20,5,0.15,1.15,DiSim,0.5617473886454655
0,20,5,0.15,1.15,Herm,0.6481055969035601
0,20,5,0.15,1.25,DiSim,0.5617473886454655
0,20,5,0.15,1.25,Herm,0.6504703345044809
0,20,5,0.15,1.6,DiSim,0.5618106197851309
0,20,5,0.15,1.6,Herm,0.4954415074641572
0,20,5,0.15,2,DiSim,0.5618031464323866
0,20,5,0.15,2,Herm,0.38752797372123593
0,20,5,0.15,3,DiSim,0.5617473886454655
0,20,5,0.15,3,Herm,0.08103500771608842
0,60,5,0.15,0.1,DiSim,0.6954797243316474
0,60,5,0.15,0.1,Herm,0.7090874753368834
0,60,5,0.15,0.4,DiSim,0.6954797243316474
0,60,5,0.15,0.4,Herm,0.7247860873950461
0,60,5,0.15,0.75,DiSim,0.6954797243316474
0,60,5,0.15,0.75,Herm,0.7332850546989496
0,60,5,0.15,0.85,DiSim,0.6954797243316474
0,60,5,0.15,0.85,Herm,0.7362658717794629
0,60,5,0.15,1,DiSim,0.6954797243316474
0,60,5,0.15,1,Herm,0.7371798750210593
