,c,k,noise,omega,algorithm,ari
0,20,5,0.15,0.0005,Herm,0.9198931381092892
0,20,5,0.15,0.00075,DiSim,0.4284459834499745
0,20,5,0.15,0.00075,Herm,0.9167926313680737
0,20,5,0.15,0.001,DiSim,0.3888159633869887
0,20,5,0.15,0.001,Herm,0.9135374915077111
0,20,5,0.15,0.00125,DiSim,0.35781609210696685
0,20,5,0.15,0.00125,Herm,0.9095297134319221
0,20,5,0.15,0.0015,DiSim,0.3288058637863839
0,20,5,0.15,0.0015,Herm,0.9045760768362351
0,20,5,0.15,0.00175,DiSim,0.29989440869465134
0,20,5,0.15,0.00175,Herm,0.9028020842226466
0,20,5,0.15,0.002,DiSim,0.27798226007288
0,20,5,0.15,0.002,Herm,0.897161447670021
0,60,5,0.15,0.0,DiSim,0.6627279144470187
0,60,5,0.15,0.0,Herm,0.9920375592665059
0,60,5,0.15,0.00025,DiSim,0.8412766736994622
0,60,5,0.15,0.00025,Herm,0.9888372177014149
0,60,5,0.15,0.0005,DiSim,0.7827297838553952
0,60,5,0.15,0.0005,Herm,0.9897873223379787
0,60,5,0.15,0.00075,DiSim,0.7926208408651139
0,60,5,0.15,0.00075,Herm,0.9920375592665059
0,60,5,0.15,0.001,DiSim,0.8616306919595564
0,60,5,0.15,0.001,Herm,0.9920349257161611
0,60,5,0.15,0.00125,DiSim,0.8393944738630598
0,60,5,0.15,0.00125,Herm,0.9900532257210405
0,60,5,0.15,0.0015,DiSim,0.8126976570489081
0,60,5,0.15,0.0015,Herm,0.9917811346106739
0,60,5,0.15,0.00175,DiSim,0.7908136048385335
0,60,5,0.15,0.00175,Herm,0.9890589370770453
0,60,5,0.15,0.002,DiSim,0.7687575438225454
0,60,5,0.15,0.002,Herm,0.9910486281009346
0,20,3,0.0,0.0,DiSim,0.8063884041221338
0,20,3,0.0,0.0,Herm,0.9737984840705026
0,20,3,0.0,0.00025,DiSim,0.7932321431753315
0,20,3,0.0,0.00025,Herm,0.9718834516123565
0,20,3,0.0,0.0005,DiSim,0.7845800982775377
0,20,3,0.0,0.0005,Herm,0.9718962365308538
0,20,3,0.0,0.00075,DiSim,0.7775549321912628
0,20,3,0.0,0.00075,Herm,0.9713975627244246
0,20,3,0.0,0.001,DiSim,0.7659853499422218
0,20,3,0.0,0.001,Herm,0.9708987821196825
0,20,3,0.0,0.00125,DiSim,0.7464875132375268
0,20,3,0.0,0.00125,Herm,0.9689596999000832
0,20,3,0.0,0.0015,DiSim,0.7174483925698901
0,20,3,0.0,0.0015,Herm,0.9670395251726869
0,20,3,0.0,0.00175,DiSim,0.6817285849973584
0,20,3,0.0,0.00175,Herm,0.9660276845336112
0,20,3,0.0,0.002,DiSim,0.6653831119081316
0,20,3,0.0,0.002,Herm,0.965554376284898
0,60,3,0.0,0.0,DiSim,0.9284359623423362
0,60,3,0.0,0.0,Herm,0.9955474708596462
0,60,3,0.0,0.00025,DiSim,0.9368319163447874
0,60,3,0.0,0.00025,Herm,0.9955474708596462
0,60,3,0.0,0.0005,DiSim,0.9368319163447874
0,60,3,0.0,0.0005,Herm,0.9960339595296648
0,60,3,0.0,0.00075,DiSim,0.9368319163447874
0,60,3,0.0,0.00075,Herm,0.9960339595296648
0,60,3,0.0,0.001,DiSim,0.937303976900696
0,60,3,0.0,0.001,Herm,0.9950340859139846
0,60,3,0.0,0.00125,DiSim,0.937303976900696
0,60,3,0.0,0.00125,Herm,0.9960339595296648
0,60,3,0.0,0.0015,DiSim,0.9363318230599286
0,60,3,0.0,0.0015,Herm,0.9950340859139846
0,60,3,0.0,0.00175,DiSim,0.9353190303615617
0,60,3,0.0,0.00175,Herm,0.9950340859139846
0,60,3,0.0,0.002,DiSim,0.9343209716452662
0,60,3,0.0,0.002,Herm,0.9950340859139846
0,20,5,0.0,0.0,DiSim,0.7981750117246327
0,20,5,0.0,0.0,Herm,0.9763908905743028
0,20,5,0.0,0.00025,DiSim,0.7807619150888628
0,20,5,0.0,0.00025,Herm,0.9751377001327554
0,20,5,0.0,0.0005,DiSim,0.7349183602936955
0,20,5,0.0,0.0005,Herm,0.9723886969415045
0,20,5,0.0,0.00075,DiSim,0.6522255808666577
0,20,5,0.0,0.00075,Herm,0.9694411296449643
0,20,5,0.0,0.001,DiSim,0.59666264515078
0,20,5,0.0,0.001,Herm,0.9696998313738568
0,20,5,0.0,0.00125,DiSim,0.5520479195497089
0,20,5,0.0,0.00125,Herm,0.968707955031273
0,20,5,0.0,0.0015,DiSim,0.5106741670443415
0,20,5,0.0,0.0015,Herm,0.9672315716893245
0,20,5,0.0,0.00175,DiSim,0.4754491224446366
0,20,5,0.0,0.00175,Herm,0.9672340573483361
0,20,5,0.0,0.002,DiSim,0.4439520821973294
0,20,5,0.0,0.002,Herm,0.9642862519000628
0,60,5,0.0,0.0,DiSim,0.932962888195219
0,60,5,0.0,0.0,Herm,0.9954897234965324
0,60,5,0.0,0.00025,DiSim,0.9316952363268535
0,60,5,0.0,0.00025,Herm,0.9954897234965324
0,60,5,0.0,0.0005,DiSim,0.930442005888541
0,60,5,0.0,0.0005,Herm,0.9954897234965324
0,60,5,0.0,0.00075,DiSim,0.9271617057108275
0,60,5,0.0,0.00075,Herm,0.9954897234965324
0,60,5,0.0,0.001,DiSim,0.9231032092812392
0,60,5,0.0,0.001,Herm,0.9947366902859518
0,60,5,0.0,0.00125,DiSim,0.8753733331980758
0,60,5,0.0,0.00125,Herm,0.9949866362234386
0,60,5,0.0,0.0015,DiSim,0.8561593152859551
0,60,5,0.0,0.0015,Herm,0.9947366902859518
0,60,5,0.0,0.00175,DiSim,0.8361809085741064
0,60,5,0.0,0.00175,Herm,0.9954941501571356
0,60,5,0.0,0.002,DiSim,0.8069305670311173
0,60,5,0.0,0.002,Herm,0.9942415553737514
0,20,3,0.15,0.0,DiSim,0.35868624510762365
0,20,3,0.15,0.0,Herm,0.9092756052754353
0,20,3,0.15,0.00025,DiSim,0.35238273666288933
0,20,3,0.15,0.00025,Herm,0.906435055888899
0,20,3,0.15,0.0005,DiSim,0.3393686150343373
0,20,3,0.15,0.0005,Herm,0.9021722150430752
0,20,3,0.15,0.00075,DiSim,0.322514816889247
0,20,3,0.15,0.00075,Herm,0.903099976281472
0,20,3,0.15,0.001,DiSim,0.29680940716458215
0,20,3,0.15,0.001,Herm,0.9040108491910469
0,20,3,0.15,0.00125,DiSim,0.27698036891280164
0,20,3,0.15,0.00125,Herm,0.8988177047652967
0,20,3,0.15,0.0015,DiSim,0.2620210611372288
0,20,3,0.15,0.0015,Herm,0.8974476192553023
0,20,3,0.15,0.00175,DiSim,0.244228036564842
0,20,3,0.15,0.00175,Herm,0.8951251800492286
0,20,3,0.15,0.002,DiSim,0.23212227789778242
0,20,3,0.15,0.002,Herm,0.8894644140379249
0,60,3,0.15,0.0,DiSim,0.47178059365517266
0,60,3,0.15,0.0,Herm,0.9925366608228012
0,60,3,0.15,0.00025,DiSim,0.4723236896216425
0,60,3,0.15,0.00025,Herm,0.9885433762529316
0,60,3,0.15,0.0005,DiSim,0.4712992079334434
0,60,3,0.15,0.0005,Herm,0.9880478922255601
