,c,sigma,noise,omega,algorithm,ari
0,20,0.25,0.0,0.00025,DiSim,0.35411012995763574
0,20,0.25,0.0,0.00025,Herm,0.4512256705069928
0,20,0.25,0.0,0.0005,DiSim,0.31202307128105583
0,20,0.25,0.0,0.0005,Herm,0.4414686898925848
0,20,0.25,0.0,0.00075,DiSim,0.2745649415349018
0,20,0.25,0.0,0.00075,Herm,0.4337760259668377
0,20,0.25,0.0,0.001,DiSim,0.24250115919501802
0,20,0.25,0.0,0.001,Herm,0.4256808125706246
0,20,0.25,0.0,0.00125,DiSim,0.21742119709630425
0,20,0.25,0.0,0.00125,Herm,0.41833867711728084
0,20,0.25,0.0,0.0015,DiSim,0.19986638536083326
0,20,0.25,0.0,0.0015,Herm,0.41055916926358443
0,20,0.25,0.0,0.00175,DiSim,0.18553077346457086
0,20,0.25,0.0,0.00175,Herm,0.40306602516728635
0,20,0.25,0.0,0.002,DiSim,0.1714710991123836
0,20,0.25,0.0,0.002,Herm,0.393585611004687
0,60,0.25,0.0,0.0,DiSim,0.4684434778866983
0,60,0.25,0.0,0.0,Herm,0.5369235913766743
0,60,0.25,0.0,0.00025,DiSim,0.444467620686352
0,60,0.25,0.0,0.00025,Herm,0.5283540719823063
0,60,0.25,0.0,0.0005,DiSim,0.4342541370886037
0,60,0.25,0.0,0.0005,Herm,0.5131725043355283
0,60,0.25,0.0,0.00075,DiSim,0.42175596361789097
0,60,0.25,0.0,0.00075,Herm,0.5534826207117903
0,60,0.25,0.0,0.001,DiSim,0.4123924577364547
0,60,0.25,0.0,0.001,Herm,0.5247380729719905
0,60,0.25,0.0,0.00125,DiSim,0.40204562254502024
0,60,0.25,0.0,0.00125,Herm,0.5507629797312487
0,60,0.25,0.0,0.0015,DiSim,0.3920425047559901
0,60,0.25,0.0,0.0015,Herm,0.524640494426564
0,60,0.25,0.0,0.00175,DiSim,0.3849621604308011
0,60,0.25,0.0,0.00175,Herm,0.5484930416506708
0,60,0.25,0.0,0.002,DiSim,0.37859325282210177
0,60,0.25,0.0,0.002,Herm,0.547413295543673
0,20,0.25,0.15,0.0,DiSim,0.1663508461169984
0,20,0.25,0.15,0.0,Herm,0.35779115995590316
0,20,0.25,0.15,0.00025,DiSim,0.17381053862922496
0,20,0.25,0.15,0.00025,Herm,0.34843795227102736
0,20,0.25,0.15,0.0005,DiSim,0.16869823523527344
0,20,0.25,0.15,0.0005,Herm,0.34133840109743935
0,20,0.25,0.15,0.00075,DiSim,0.1613825655164694
0,20,0.25,0.15,0.00075,Herm,0.32769760722263114
0,20,0.25,0.15,0.001,DiSim,0.14583923539387844
0,20,0.25,0.15,0.001,Herm,0.31892017983651616
0,20,0.25,0.15,0.00125,DiSim,0.1334402755113534
0,20,0.25,0.15,0.00125,Herm,0.3094092291904328
0,20,0.25,0.15,0.0015,DiSim,0.12179295340941433
0,20,0.25,0.15,0.0015,Herm,0.29932692827531227
0,20,0.25,0.15,0.00175,DiSim,0.11522369548557866
0,20,0.25,0.15,0.00175,Herm,0.2905296858959852
0,20,0.25,0.15,0.002,DiSim,0.10780717832068286
0,20,0.25,0.15,0.002,Herm,0.28285882865955103
0,60,0.25,0.15,0.0,DiSim,0.2532100603358199
0,60,0.25,0.15,0.0,Herm,0.5046268707686639
0,60,0.25,0.15,0.00025,DiSim,0.2359764398311991
0,60,0.25,0.15,0.00025,Herm,0.5040573687515465
0,60,0.25,0.15,0.0005,DiSim,0.24974577381099913
0,60,0.25,0.15,0.0005,Herm,0.5088414603091098
0,60,0.25,0.15,0.00075,DiSim,0.25736862139995825
0,60,0.25,0.15,0.00075,Herm,0.5080185659599361
0,60,0.25,0.15,0.001,DiSim,0.26159746141134277
0,60,0.25,0.15,0.001,Herm,0.5099336728291167
0,60,0.25,0.15,0.00125,DiSim,0.26327209047467454
0,60,0.25,0.15,0.00125,Herm,0.5090419461883954
0,60,0.25,0.15,0.0015,DiSim,0.2633928856646092
0,60,0.25,0.15,0.0015,Herm,0.5081336704197646
0,60,0.25,0.15,0.00175,DiSim,0.2642753916297894
0,60,0.25,0.15,0.00175,Herm,0.5071018347407272
0,60,0.25,0.15,0.002,DiSim,0.2635421609138085
0,60,0.25,0.15,0.002,Herm,0.5069159136626048
0,20,0.25,0.0,0.0,DiSim,0.349935041834327
0,20,0.25,0.0,0.0,Herm,0.42544329835815925
0,20,0.25,0.0,0.00025,DiSim,0.3609045938164177
0,20,0.25,0.0,0.00025,Herm,0.4452373436698087
0,20,0.25,0.0,0.0005,DiSim,0.3168234815333513
0,20,0.25,0.0,0.0005,Herm,0.4378423052268337
0,20,0.25,0.0,0.00075,DiSim,0.2685952824426536
0,20,0.25,0.0,0.00075,Herm,0.39731850461891105
0,20,0.25,0.0,0.001,DiSim,0.24145957859449937
0,20,0.25,0.0,0.001,Herm,0.41930611530321815
0,20,0.25,0.0,0.00125,DiSim,0.21623231736298393
0,20,0.25,0.0,0.00125,Herm,0.4093813321359178
0,20,0.25,0.0,0.0015,DiSim,0.19700008788819592
0,20,0.25,0.0,0.0015,Herm,0.4058118560589084
0,20,0.25,0.0,0.00175,DiSim,0.18188367482906367
0,20,0.25,0.0,0.00175,Herm,0.39709190905373404
0,20,0.25,0.0,0.002,DiSim,0.19500475371890721
0,20,0.25,0.0,0.002,Herm,0.3884896257595847
0,60,0.25,0.0,0.0,DiSim,0.4738083183312335
0,60,0.25,0.0,0.0,Herm,0.543657071691839
0,60,0.25,0.0,0.00025,DiSim,0.45385170092408716
0,60,0.25,0.0,0.00025,Herm,0.5432413851549561
0,60,0.25,0.0,0.0005,DiSim,0.4443899190409227
0,60,0.25,0.0,0.0005,Herm,0.5318799667366236
0,60,0.25,0.0,0.00075,DiSim,0.43056224345722494
0,60,0.25,0.0,0.00075,Herm,0.5381660239143083
0,60,0.25,0.0,0.001,DiSim,0.4208694128689724
0,60,0.25,0.0,0.001,Herm,0.5357516063618251
0,60,0.25,0.0,0.00125,DiSim,0.409754871061975
0,60,0.25,0.0,0.00125,Herm,0.5259010415054161
0,60,0.25,0.0,0.0015,DiSim,0.39883241759905463
0,60,0.25,0.0,0.0015,Herm,0.5443376422315106
0,60,0.25,0.0,0.00175,DiSim,0.3905686244489603
0,60,0.25,0.0,0.00175,Herm,0.5312885951568858
0,60,0.25,0.0,0.002,DiSim,0.38061719908025227
0,60,0.25,0.0,0.002,Herm,0.5292476184655894
0,20,0.25,0.15,0.0,DiSim,0.1628928909950132
0,20,0.25,0.15,0.0,Herm,0.3484495588722527
0,20,0.25,0.0,0.0,DiSim,0.349935041834327
0,20,0.25,0.0,0.0,Herm,0.42544329835815925
0,20,0.25,0.0,0.00025,DiSim,0.3609045938164177
0,20,0.25,0.0,0.00025,Herm,0.4452373436698087
0,20,0.25,0.0,0.0005,DiSim,0.3168234815333513
0,20,0.25,0.0,0.0005,Herm,0.4378423052268337
0,20,0.25,0.0,0.00075,DiSim,0.2685952824426536
0,20,0.25,0.0,0.00075,Herm,0.39731850461891105
0,20,0.25,0.0,0.001,DiSim,0.24145957859449937
0,20,0.25,0.0,0.001,Herm,0.41930611530321815
0,20,0.25,0.0,0.00125,DiSim,0.21623231736298393
0,20,0.25,0.0,0.00125,Herm,0.4093813321359178
0,20,0.25,0.0,0.0015,DiSim,0.19700008788819592
0,20,0.25,0.0,0.0015,Herm,0.4058118560589084
0,20,0.25,0.0,0.00175,DiSim,0.18188367482906367
0,20,0.25,0.0,0.00175,Herm,0.39709190905373404
0,20,0.25,0.0,0.002,DiSim,0.19500475371890721
0,20,0.25,0.0,0.002,Herm,0.3884896257595847
0,60,0.25,0.0,0.0,DiSim,0.4738083183312335
0,60,0.25,0.0,0.0,Herm,0.543657071691839
0,60,0.25,0.0,0.00025,DiSim,0.45385170092408716
0,60,0.25,0.0,0.00025,Herm,0.5432413851549561
0,60,0.25,0.0,0.0005,DiSim,0.4443899190409227
0,60,0.25,0.0,0.0005,Herm,0.5318799667366236
0,60,0.25,0.0,0.00075,DiSim,0.43056224345722494
0,60,0.25,0.0,0.00075,Herm,0.5381660239143083
0,60,0.25,0.0,0.001,DiSim,0.4208694128689724
0,60,0.25,0.0,0.001,Herm,0.5357516063618251
0,60,0.25,0.0,0.00125,DiSim,0.409754871061975
0,60,0.25,0.0,0.00125,Herm,0.5259010415054161
0,60,0.25,0.0,0.0015,DiSim,0.39883241759905463
0,60,0.25,0.0,0.0015,Herm,0.5443376422315106
0,60,0.25,0.0,0.00175,DiSim,0.3905686244489603
0,60,0.25,0.0,0.00175,Herm,0.5312885951568858
0,60,0.25,0.0,0.002,DiSim,0.38061719908025227
0,60,0.25,0.0,0.002,Herm,0.5292476184655894
0,20,0.25,0.15,0.0,DiSim,0.1628928909950132
0,20,0.25,0.15,0.0,Herm,0.3484495588722527
0,20,0.25,0.15,0.00025,DiSim,0.16894289717464428
0,20,0.25,0.15,0.00025,Herm,0.34021165775220347
0,20,0.25,0.15,0.0005,DiSim,0.15989218116462306
0,20,0.25,0.15,0.0005,Herm,0.33327509194419147
0,20,0.25,0.15,0.00075,DiSim,0.15739188572401486
0,20,0.25,0.15,0.00075,Herm,0.3277156314356851
0,20,0.25,0.15,0.001,DiSim,0.14300763151541226
0,20,0.25,0.15,0.001,Herm,0.3179600893510201
0,20,0.25,0.15,0.00125,DiSim,0.1355416761581564
0,20,0.25,0.15,0.00125,Herm,0.30869727365277017
0,20,0.25,0.15,0.0015,DiSim,0.13167563137773175
0,20,0.25,0.15,0.0015,Herm,0.3013297967903462
0,20,0.25,0.15,0.00175,DiSim,0.12282836914947302
0,20,0.25,0.15,0.00175,Herm,0.2914888542327952
0,20,0.25,0.15,0.002,DiSim,0.11474856273516666
0,20,0.25,0.15,0.002,Herm,0.2861675829461457
0,60,0.25,0.15,0.0,DiSim,0.2613137067847591
0,60,0.25,0.15,0.0,Herm,0.5095304561266991
0,60,0.25,0.15,0.00025,DiSim,0.24449984256459797
0,60,0.25,0.15,0.00025,Herm,0.5016972343294095
0,60,0.25,0.15,0.0005,DiSim,0.2608088433270452
0,60,0.25,0.15,0.0005,Herm,0.5075203977469506
0,60,0.25,0.15,0.00075,DiSim,0.2670274064135206
0,60,0.25,0.15,0.00075,Herm,0.5077031262986476
0,60,0.25,0.15,0.001,DiSim,0.2681271759303732
0,60,0.25,0.15,0.001,Herm,0.5058359433305746
0,60,0.25,0.15,0.00125,DiSim,0.2677558358745042
0,60,0.25,0.15,0.00125,Herm,0.5038338583486526
0,60,0.25,0.15,0.0015,DiSim,0.2657797484225151
0,60,0.25,0.15,0.0015,Herm,0.5051987989194523
0,60,0.25,0.15,0.00175,DiSim,0.26418951338441743
0,60,0.25,0.15,0.00175,Herm,0.4923266304615211
0,60,0.25,0.15,0.002,DiSim,0.26009743728625073
0,60,0.25,0.15,0.002,Herm,0.5022751749285117
